Region,Date,Cases
,,
ACEH,Jul-2024,343
BABEL,Jul-2024,153
BALI,Jul-2024,"1,243"
BANTEN,Jul-2024,790
BENGKULU,Jul-2024,145
D.I YOGYA,Jul-2024,263
DKI JAKARTA,Jul-2024,712
GORONTALO,Jul-2024,104
JAMBI,Jul-2024,187
JAWA BARAT,Jul-2024,"4,717"
JAWA TENGAH,Jul-2024,"1,526"
JAWA TIMUR,Jul-2024,986
KALIMANTAN BARAT,Jul-2024,80
KALIMANTAN SELATA,Jul-2024,79
KALIMANTAN TENGAH,Jul-2024,62
KALIMANTAN TIMUR,Jul-2024,865
KALIMANTAN UTARA,Jul-2024,65
KEPULAUAN RIAU,Jul-2024,199
LAMPUNG,Jul-2024,652
MALUKU,Jul-2024,0
MALUKU UTARA,Jul-2024,107
NUSA TENGGARA BARAT,Jul-2024,275
NUSA TENGGARA TIMUR,Jul-2024,37
PAPUA,Jul-2024,
PAPUA BARAT,Jul-2024,
PAPUA BARAT DAYA,Jul-2024,
PAPUA PEGUNUNGAN,Jul-2024,
PAPUA SELATAN,Jul-2024,
PAPUA TENGAH,Jul-2024,
RIAU,Jul-2024,262
SULAWESI BARAT,Jul-2024,194
SULAWESI SELATA,Jul-2024,462
SULAWESI TENGAH,Jul-2024,174
SULAWESI TENGGARA,Jul-2024,49
SULAWESI UTARA,Jul-2024,241
SUMATERA BARAT,Jul-2024,219
SUMATERA SELATA,Jul-2024,158
SUMATERA UTARA,Jul-2024,"1,145"
,,
ACEH,Aug-2020,69
BABEL,Aug-2020,66
BALI,Aug-2020,344
BANTEN,Aug-2020,92
BENGKULU,Aug-2020,77
D.I YOGYA,Aug-2020,81
DKI JAKARTA,Aug-2020,75
GORONTALO,Aug-2020,24
JAMBI,Aug-2020,46
JAWA BARAT,Aug-2020,"1,132"
JAWA TENGAH,Aug-2020,223
JAWA TIMUR,Aug-2020,242
KALIMANTAN BARAT,Aug-2020,20
KALIMANTAN SELATA,Aug-2020,23
KALIMANTAN TENGAH,Aug-2020,5
KALIMANTAN TIMUR,Aug-2020,109
KALIMANTAN UTARA,Aug-2020,47
KEPULAUAN RIAU,Aug-2020,209
LAMPUNG,Aug-2020,204
MALUKU,Aug-2020,3
MALUKU UTARA,Aug-2020,12
NUSA TENGGARA BARAT,Aug-2020,81
NUSA TENGGARA TIMUR,Aug-2020,39
PAPUA,Aug-2020,0
PAPUA BARAT,Aug-2020,1
RIAU,Aug-2020,89
SULAWESI BARAT,Aug-2020,6
SULAWESI SELATA,Aug-2020,53
SULAWESI TENGAH,Aug-2020,45
SULAWESI TENGGARA,Aug-2020,17
SULAWESI UTARA,Aug-2020,75
SUMATERA BARAT,Aug-2020,39
SUMATERA SELATA,Aug-2020,79
SUMATERA UTARA,Aug-2020,206
,,
ACEH,Jul-2020,97
BABEL,Jul-2020,59
BALI,Jul-2020,604
BANTEN,Jul-2020,204
BENGKULU,Jul-2020,97
D.I YOGYA,Jul-2020,160
DKI JAKARTA,Jul-2020,140
GORONTALO,Jul-2020,21
JAMBI,Jul-2020,62
JAWA BARAT,Jul-2020,"2,310"
JAWA TENGAH,Jul-2020,324
JAWA TIMUR,Jul-2020,402
KALIMANTAN BARAT,Jul-2020,24
KALIMANTAN SELATA,Jul-2020,14
KALIMANTAN TENGAH,Jul-2020,9
KALIMANTAN TIMUR,Jul-2020,138
KALIMANTAN UTARA,Jul-2020,72
KEPULAUAN RIAU,Jul-2020,258
LAMPUNG,Jul-2020,292
MALUKU,Jul-2020,3
MALUKU UTARA,Jul-2020,10
NUSA TENGGARA BARAT,Jul-2020,148
NUSA TENGGARA TIMUR,Jul-2020,65
PAPUA,Jul-2020,6
PAPUA BARAT,Jul-2020,3
RIAU,Jul-2020,165
SULAWESI BARAT,Jul-2020,23
SULAWESI SELATA,Jul-2020,62
SULAWESI TENGAH,Jul-2020,65
SULAWESI TENGGARA,Jul-2020,17
SULAWESI UTARA,Jul-2020,87
SUMATERA BARAT,Jul-2020,53
SUMATERA SELATA,Jul-2020,60
SUMATERA UTARA,Jul-2020,275
,,
ACEH,Jun-2020,92
BABEL,Jun-2020,53
BALI,Jun-2020,"1,120"
BANTEN,Jun-2020,253
BENGKULU,Jun-2020,137
D.I YOGYA,Jun-2020,247
DKI JAKARTA,Jun-2020,350
GORONTALO,Jun-2020,21
JAMBI,Jun-2020,64
JAWA BARAT,Jun-2020,"2,621"
JAWA TENGAH,Jun-2020,484
JAWA TIMUR,Jun-2020,649
KALIMANTAN BARAT,Jun-2020,19
KALIMANTAN SELATA,Jun-2020,38
KALIMANTAN TENGAH,Jun-2020,11
KALIMANTAN TIMUR,Jun-2020,110
KALIMANTAN UTARA,Jun-2020,31
KEPULAUAN RIAU,Jun-2020,173
LAMPUNG,Jun-2020,341
MALUKU,Jun-2020,7
MALUKU UTARA,Jun-2020,9
NUSA TENGGARA BARAT,Jun-2020,228
NUSA TENGGARA TIMUR,Jun-2020,144
PAPUA,Jun-2020,9
PAPUA BARAT,Jun-2020,3
RIAU,Jun-2020,198
SULAWESI BARAT,Jun-2020,26
SULAWESI SELATA,Jun-2020,96
SULAWESI TENGAH,Jun-2020,74
SULAWESI TENGGARA,Jun-2020,22
SULAWESI UTARA,Jun-2020,58
SUMATERA BARAT,Jun-2020,64
SUMATERA SELATA,Jun-2020,63
SUMATERA UTARA,Jun-2020,291
,,
ACEH,May-2020,48
BABEL,May-2020,76
BALI,May-2020,"2,262"
BANTEN,May-2020,262
BENGKULU,May-2020,113
D.I YOGYA,May-2020,370
DKI JAKARTA,May-2020,717
GORONTALO,May-2020,33
JAMBI,May-2020,96
JAWA BARAT,May-2020,"2,636"
JAWA TENGAH,May-2020,708
JAWA TIMUR,May-2020,870
KALIMANTAN BARAT,May-2020,35
KALIMANTAN SELATA,May-2020,45
KALIMANTAN TENGAH,May-2020,20
KALIMANTAN TIMUR,May-2020,130
KALIMANTAN UTARA,May-2020,28
KEPULAUAN RIAU,May-2020,77
LAMPUNG,May-2020,468
MALUKU,May-2020,17
MALUKU UTARA,May-2020,30
NUSA TENGGARA BARAT,May-2020,485
NUSA TENGGARA TIMUR,May-2020,285
PAPUA,May-2020,15
PAPUA BARAT,May-2020,6
RIAU,May-2020,214
SULAWESI BARAT,May-2020,15
SULAWESI SELATA,May-2020,137
SULAWESI TENGAH,May-2020,71
SULAWESI TENGGARA,May-2020,22
SULAWESI UTARA,May-2020,65
SUMATERA BARAT,May-2020,58
SUMATERA SELATA,May-2020,80
SUMATERA UTARA,May-2020,231
,,
ACEH,Apr-2020,58
BABEL,Apr-2020,48
BALI,Apr-2020,"2,858"
BANTEN,Apr-2020,326
BENGKULU,Apr-2020,104
D.I YOGYA,Apr-2020,532
DKI JAKARTA,Apr-2020,"1,028"
GORONTALO,Apr-2020,93
JAMBI,Apr-2020,154
JAWA BARAT,Apr-2020,"2,684"
JAWA TENGAH,Apr-2020,697
JAWA TIMUR,Apr-2020,"1,085"
KALIMANTAN BARAT,Apr-2020,28
KALIMANTAN SELATA,Apr-2020,122
KALIMANTAN TENGAH,Apr-2020,48
KALIMANTAN TIMUR,Apr-2020,192
KALIMANTAN UTARA,Apr-2020,11
KEPULAUAN RIAU,Apr-2020,49
LAMPUNG,Apr-2020,481
MALUKU,Apr-2020,13
MALUKU UTARA,Apr-2020,45
NUSA TENGGARA BARAT,Apr-2020,556
NUSA TENGGARA TIMUR,Apr-2020,628
PAPUA,Apr-2020,13
PAPUA BARAT,Apr-2020,21
RIAU,Apr-2020,242
SULAWESI BARAT,Apr-2020,26
SULAWESI SELATA,Apr-2020,199
SULAWESI TENGAH,Apr-2020,111
SULAWESI TENGGARA,Apr-2020,113
SULAWESI UTARA,Apr-2020,129
SUMATERA BARAT,Apr-2020,65
SUMATERA SELATA,Apr-2020,167
SUMATERA UTARA,Apr-2020,234
,,
ACEH,Mar-2020,101
BABEL,Mar-2020,140
BALI,Mar-2020,"2,170"
BANTEN,Mar-2020,435
BENGKULU,Mar-2020,149
D.I YOGYA,Mar-2020,713
DKI JAKARTA,Mar-2020,"1,310"
GORONTALO,Mar-2020,210
JAMBI,Mar-2020,327
JAWA BARAT,Mar-2020,"3,226"
JAWA TENGAH,Mar-2020,990
JAWA TIMUR,Mar-2020,"1,533"
KALIMANTAN BARAT,Mar-2020,133
KALIMANTAN SELATA,Mar-2020,304
KALIMANTAN TENGAH,Mar-2020,110
KALIMANTAN TIMUR,Mar-2020,308
KALIMANTAN UTARA,Mar-2020,65
KEPULAUAN RIAU,Mar-2020,91
LAMPUNG,Mar-2020,"1,304"
MALUKU,Mar-2020,14
MALUKU UTARA,Mar-2020,71
NUSA TENGGARA BARAT,Mar-2020,"1,010"
NUSA TENGGARA TIMUR,Mar-2020,"1,659"
PAPUA,Mar-2020,40
PAPUA BARAT,Mar-2020,40
RIAU,Mar-2020,474
SULAWESI BARAT,Mar-2020,106
SULAWESI SELATA,Mar-2020,677
SULAWESI TENGAH,Mar-2020,218
SULAWESI TENGGARA,Mar-2020,289
SULAWESI UTARA,Mar-2020,195
SUMATERA BARAT,Mar-2020,179
SUMATERA SELATA,Mar-2020,424
SUMATERA UTARA,Mar-2020,351
,,
ACEH,Feb-2020,135
BABEL,Feb-2020,233
BALI,Feb-2020,"1,151"
BANTEN,Feb-2020,535
BENGKULU,Feb-2020,213
D.I YOGYA,Feb-2020,684
DKI JAKARTA,Feb-2020,628
GORONTALO,Feb-2020,276
JAMBI,Feb-2020,542
JAWA BARAT,Feb-2020,"2,791"
JAWA TENGAH,Feb-2020,967
JAWA TIMUR,Feb-2020,"1,665"
KALIMANTAN BARAT,Feb-2020,167
KALIMANTAN SELATA,Feb-2020,565
KALIMANTAN TENGAH,Feb-2020,172
KALIMANTAN TIMUR,Feb-2020,463
KALIMANTAN UTARA,Feb-2020,54
KEPULAUAN RIAU,Feb-2020,112
LAMPUNG,Feb-2020,"1,783"
MALUKU,Feb-2020,8
MALUKU UTARA,Feb-2020,82
NUSA TENGGARA BARAT,Feb-2020,"1,173"
NUSA TENGGARA TIMUR,Feb-2020,"1,898"
PAPUA,Feb-2020,43
PAPUA BARAT,Feb-2020,54
RIAU,Feb-2020,581
SULAWESI BARAT,Feb-2020,150
SULAWESI SELATA,Feb-2020,724
SULAWESI TENGAH,Feb-2020,245
SULAWESI TENGGARA,Feb-2020,222
SULAWESI UTARA,Feb-2020,191
SUMATERA BARAT,Feb-2020,245
SUMATERA SELATA,Feb-2020,564
SUMATERA UTARA,Feb-2020,377
,,
ACEH,Jan-2020,184
BABEL,Jan-2020,272
BALI,Jan-2020,800
BANTEN,Jan-2020,548
BENGKULU,Jan-2020,209
D.I YOGYA,Jan-2020,481
DKI JAKARTA,Jan-2020,275
GORONTALO,Jan-2020,224
JAMBI,Jan-2020,666
JAWA BARAT,Jan-2020,"2,438"
JAWA TENGAH,Jan-2020,654
JAWA TIMUR,Jan-2020,"1,069"
KALIMANTAN BARAT,Jan-2020,316
KALIMANTAN SELATA,Jan-2020,607
KALIMANTAN TENGAH,Jan-2020,266
KALIMANTAN TIMUR,Jan-2020,541
KALIMANTAN UTARA,Jan-2020,73
KEPULAUAN RIAU,Jan-2020,166
LAMPUNG,Jan-2020,"1,032"
MALUKU,Jan-2020,6
MALUKU UTARA,Jan-2020,76
NUSA TENGGARA BARAT,Jan-2020,589
NUSA TENGGARA TIMUR,Jan-2020,923
PAPUA,Jan-2020,45
PAPUA BARAT,Jan-2020,23
RIAU,Jan-2020,781
SULAWESI BARAT,Jan-2020,250
SULAWESI SELATA,Jan-2020,520
SULAWESI TENGAH,Jan-2020,174
SULAWESI TENGGARA,Jan-2020,166
SULAWESI UTARA,Jan-2020,241
SUMATERA BARAT,Jan-2020,289
SUMATERA SELATA,Jan-2020,594
SUMATERA UTARA,Jan-2020,452
,,
ACEH,Dec-2019,208
BABEL,Dec-2019,140
BALI,Dec-2019,0
BANTEN,Dec-2019,123
BENGKULU,Dec-2019,118
D.I YOGYA,Dec-2019,193
DKI JAKARTA,Dec-2019,134
GORONTALO,Dec-2019,23
JAMBI,Dec-2019,246
JAWA BARAT,Dec-2019,446
JAWA TENGAH,Dec-2019,227
JAWA TIMUR,Dec-2019,413
KALIMANTAN BARAT,Dec-2019,411
KALIMANTAN SELATA,Dec-2019,144
KALIMANTAN TENGAH,Dec-2019,123
KALIMANTAN TIMUR,Dec-2019,309
KALIMANTAN UTARA,Dec-2019,74
KEPULAUAN RIAU,Dec-2019,149
LAMPUNG,Dec-2019,194
MALUKU,Dec-2019,1
MALUKU UTARA,Dec-2019,13
NUSA TENGGARA BARAT,Dec-2019,142
NUSA TENGGARA TIMUR,Dec-2019,62
PAPUA,Dec-2019,8
PAPUA BARAT,Dec-2019,7
RIAU,Dec-2019,603
SULAWESI BARAT,Dec-2019,118
SULAWESI SELATA,Dec-2019,44
SULAWESI TENGAH,Dec-2019,88
SULAWESI TENGGARA,Dec-2019,26
SULAWESI UTARA,Dec-2019,98
SUMATERA BARAT,Dec-2019,213
SUMATERA SELATA,Dec-2019,197
SUMATERA UTARA,Dec-2019,471
,,
ACEH,Nov-2019,251
BABEL,Nov-2019,78
BALI,Nov-2019,96
BANTEN,Nov-2019,94
BENGKULU,Nov-2019,79
D.I YOGYA,Nov-2019,130
DKI JAKARTA,Nov-2019,103
GORONTALO,Nov-2019,19
JAMBI,Nov-2019,306
JAWA BARAT,Nov-2019,363
JAWA TENGAH,Nov-2019,203
JAWA TIMUR,Nov-2019,356
KALIMANTAN BARAT,Nov-2019,391
KALIMANTAN SELATA,Nov-2019,60
KALIMANTAN TENGAH,Nov-2019,59
KALIMANTAN TIMUR,Nov-2019,317
KALIMANTAN UTARA,Nov-2019,73
KEPULAUAN RIAU,Nov-2019,130
LAMPUNG,Nov-2019,164
MALUKU,Nov-2019,2
MALUKU UTARA,Nov-2019,61
NUSA TENGGARA BARAT,Nov-2019,97
NUSA TENGGARA TIMUR,Nov-2019,48
PAPUA,Nov-2019,18
PAPUA BARAT,Nov-2019,20
RIAU,Nov-2019,722
SULAWESI BARAT,Nov-2019,83
SULAWESI SELATA,Nov-2019,141
SULAWESI TENGAH,Nov-2019,77
SULAWESI TENGGARA,Nov-2019,23
SULAWESI UTARA,Nov-2019,33
SUMATERA BARAT,Nov-2019,161
SUMATERA SELATA,Nov-2019,92
SUMATERA UTARA,Nov-2019,575
,,
ACEH,Oct-2019,172
BABEL,Oct-2019,52
BALI,Oct-2019,158
BANTEN,Oct-2019,81
BENGKULU,Oct-2019,59
D.I YOGYA,Oct-2019,113
DKI JAKARTA,Oct-2019,73
GORONTALO,Oct-2019,19
JAMBI,Oct-2019,122
JAWA BARAT,Oct-2019,362
JAWA TENGAH,Oct-2019,193
JAWA TIMUR,Oct-2019,263
KALIMANTAN BARAT,Oct-2019,244
KALIMANTAN SELATA,Oct-2019,46
KALIMANTAN TENGAH,Oct-2019,40
KALIMANTAN TIMUR,Oct-2019,175
KALIMANTAN UTARA,Oct-2019,85
KEPULAUAN RIAU,Oct-2019,66
LAMPUNG,Oct-2019,116
MALUKU,Oct-2019,0
MALUKU UTARA,Oct-2019,48
NUSA TENGGARA BARAT,Oct-2019,72
NUSA TENGGARA TIMUR,Oct-2019,34
PAPUA,Oct-2019,16
PAPUA BARAT,Oct-2019,18
RIAU,Oct-2019,495
SULAWESI BARAT,Oct-2019,32
SULAWESI SELATA,Oct-2019,134
SULAWESI TENGAH,Oct-2019,70
SULAWESI TENGGARA,Oct-2019,29
SULAWESI UTARA,Oct-2019,30
SUMATERA BARAT,Oct-2019,187
SUMATERA SELATA,Oct-2019,80
SUMATERA UTARA,Oct-2019,692
,,
ACEH,Sep-2019,188
BABEL,Sep-2019,30
BALI,Sep-2019,172
BANTEN,Sep-2019,80
BENGKULU,Sep-2019,84
D.I YOGYA,Sep-2019,104
DKI JAKARTA,Sep-2019,61
GORONTALO,Sep-2019,29
JAMBI,Sep-2019,64
JAWA BARAT,Sep-2019,430
JAWA TENGAH,Sep-2019,204
JAWA TIMUR,Sep-2019,218
KALIMANTAN BARAT,Sep-2019,174
KALIMANTAN SELATA,Sep-2019,42
KALIMANTAN TENGAH,Sep-2019,25
KALIMANTAN TIMUR,Sep-2019,190
KALIMANTAN UTARA,Sep-2019,115
KEPULAUAN RIAU,Sep-2019,91
LAMPUNG,Sep-2019,103
MALUKU,Sep-2019,0
MALUKU UTARA,Sep-2019,86
NUSA TENGGARA BARAT,Sep-2019,56
NUSA TENGGARA TIMUR,Sep-2019,2
PAPUA,Sep-2019,7
PAPUA BARAT,Sep-2019,17
RIAU,Sep-2019,368
SULAWESI BARAT,Sep-2019,31
SULAWESI SELATA,Sep-2019,111
SULAWESI TENGAH,Sep-2019,90
SULAWESI TENGGARA,Sep-2019,34
SULAWESI UTARA,Sep-2019,38
SUMATERA BARAT,Sep-2019,173
SUMATERA SELATA,Sep-2019,52
SUMATERA UTARA,Sep-2019,685
,,
ACEH,Aug-2019,240
BABEL,Aug-2019,53
BALI,Aug-2019,238
BANTEN,Aug-2019,132
BENGKULU,Aug-2019,140
D.I YOGYA,Aug-2019,123
DKI JAKARTA,Aug-2019,122
GORONTALO,Aug-2019,55
JAMBI,Aug-2019,97
JAWA BARAT,Aug-2019,869
JAWA TENGAH,Aug-2019,213
JAWA TIMUR,Aug-2019,225
KALIMANTAN BARAT,Aug-2019,78
KALIMANTAN SELATA,Aug-2019,45
KALIMANTAN TENGAH,Aug-2019,27
KALIMANTAN TIMUR,Aug-2019,314
KALIMANTAN UTARA,Aug-2019,132
KEPULAUAN RIAU,Aug-2019,172
LAMPUNG,Aug-2019,160
MALUKU,Aug-2019,0
MALUKU UTARA,Aug-2019,74
NUSA TENGGARA BARAT,Aug-2019,95
NUSA TENGGARA TIMUR,Aug-2019,15
PAPUA,Aug-2019,6
PAPUA BARAT,Aug-2019,19
RIAU,Aug-2019,301
SULAWESI BARAT,Aug-2019,28
SULAWESI SELATA,Aug-2019,123
SULAWESI TENGAH,Aug-2019,154
SULAWESI TENGGARA,Aug-2019,32
SULAWESI UTARA,Aug-2019,55
SUMATERA BARAT,Aug-2019,194
SUMATERA SELATA,Aug-2019,94
SUMATERA UTARA,Aug-2019,761
,,
ACEH,Jul-2019,230
BABEL,Jul-2019,50
BALI,Jul-2019,338
BANTEN,Jul-2019,240
BENGKULU,Jul-2019,144
D.I YOGYA,Jul-2019,229
DKI JAKARTA,Jul-2019,323
GORONTALO,Jul-2019,44
JAMBI,Jul-2019,94
JAWA BARAT,Jul-2019,"1,552"
JAWA TENGAH,Jul-2019,418
JAWA TIMUR,Jul-2019,399
KALIMANTAN BARAT,Jul-2019,85
KALIMANTAN SELATA,Jul-2019,48
KALIMANTAN TENGAH,Jul-2019,43
KALIMANTAN TIMUR,Jul-2019,475
KALIMANTAN UTARA,Jul-2019,149
KEPULAUAN RIAU,Jul-2019,255
LAMPUNG,Jul-2019,226
MALUKU,Jul-2019,0
MALUKU UTARA,Jul-2019,124
NUSA TENGGARA BARAT,Jul-2019,153
NUSA TENGGARA TIMUR,Jul-2019,25
PAPUA,Jul-2019,9
PAPUA BARAT,Jul-2019,33
RIAU,Jul-2019,389
SULAWESI BARAT,Jul-2019,57
SULAWESI SELATA,Jul-2019,150
SULAWESI TENGAH,Jul-2019,222
SULAWESI TENGGARA,Jul-2019,46
SULAWESI UTARA,Jul-2019,58
SUMATERA BARAT,Jul-2019,191
SUMATERA SELATA,Jul-2019,126
SUMATERA UTARA,Jul-2019,813
,,
ACEH,Jun-2019,158
BABEL,Jun-2019,51
BALI,Jun-2019,589
BANTEN,Jun-2019,253
BENGKULU,Jun-2019,141
D.I YOGYA,Jun-2019,305
DKI JAKARTA,Jun-2019,802
GORONTALO,Jun-2019,58
JAMBI,Jun-2019,112
JAWA BARAT,Jun-2019,"2,171"
JAWA TENGAH,Jun-2019,698
JAWA TIMUR,Jun-2019,762
KALIMANTAN BARAT,Jun-2019,99
KALIMANTAN SELATA,Jun-2019,43
KALIMANTAN TENGAH,Jun-2019,70
KALIMANTAN TIMUR,Jun-2019,387
KALIMANTAN UTARA,Jun-2019,180
KEPULAUAN RIAU,Jun-2019,199
LAMPUNG,Jun-2019,343
MALUKU,Jun-2019,1
MALUKU UTARA,Jun-2019,169
NUSA TENGGARA BARAT,Jun-2019,253
NUSA TENGGARA TIMUR,Jun-2019,22
PAPUA,Jun-2019,33
PAPUA BARAT,Jun-2019,32
RIAU,Jun-2019,208
SULAWESI BARAT,Jun-2019,62
SULAWESI SELATA,Jun-2019,171
SULAWESI TENGAH,Jun-2019,133
SULAWESI TENGGARA,Jun-2019,86
SULAWESI UTARA,Jun-2019,80
SUMATERA BARAT,Jun-2019,124
SUMATERA SELATA,Jun-2019,121
SUMATERA UTARA,Jun-2019,598
,,
ACEH,May-2019,135
BABEL,May-2019,80
BALI,May-2019,975
BANTEN,May-2019,282
BENGKULU,May-2019,107
D.I YOGYA,May-2019,524
DKI JAKARTA,May-2019,"1,375"
GORONTALO,May-2019,45
JAMBI,May-2019,86
JAWA BARAT,May-2019,"2,574"
JAWA TENGAH,May-2019,"1,108"
JAWA TIMUR,May-2019,"1,353"
KALIMANTAN BARAT,May-2019,129
KALIMANTAN SELATA,May-2019,63
KALIMANTAN TENGAH,May-2019,101
KALIMANTAN TIMUR,May-2019,597
KALIMANTAN UTARA,May-2019,233
KEPULAUAN RIAU,May-2019,100
LAMPUNG,May-2019,325
MALUKU,May-2019,8
MALUKU UTARA,May-2019,87
NUSA TENGGARA BARAT,May-2019,498
NUSA TENGGARA TIMUR,May-2019,91
PAPUA,May-2019,55
PAPUA BARAT,May-2019,57
RIAU,May-2019,152
SULAWESI BARAT,May-2019,48
SULAWESI SELATA,May-2019,214
SULAWESI TENGAH,May-2019,120
SULAWESI TENGGARA,May-2019,88
SULAWESI UTARA,May-2019,56
SUMATERA BARAT,May-2019,155
SUMATERA SELATA,May-2019,157
SUMATERA UTARA,May-2019,577
,,
ACEH,Apr-2019,141
BABEL,Apr-2019,79
BALI,Apr-2019,714
BANTEN,Apr-2019,303
BENGKULU,Apr-2019,73
D.I YOGYA,Apr-2019,472
DKI JAKARTA,Apr-2019,"1,173"
GORONTALO,Apr-2019,56
JAMBI,Apr-2019,124
JAWA BARAT,Apr-2019,"3,158"
JAWA TENGAH,Apr-2019,"1,429"
JAWA TIMUR,Apr-2019,"1,613"
KALIMANTAN BARAT,Apr-2019,159
KALIMANTAN SELATA,Apr-2019,85
KALIMANTAN TENGAH,Apr-2019,98
KALIMANTAN TIMUR,Apr-2019,517
KALIMANTAN UTARA,Apr-2019,218
KEPULAUAN RIAU,Apr-2019,103
LAMPUNG,Apr-2019,457
MALUKU,Apr-2019,19
MALUKU UTARA,Apr-2019,88
NUSA TENGGARA BARAT,Apr-2019,464
NUSA TENGGARA TIMUR,Apr-2019,342
PAPUA,Apr-2019,89
PAPUA BARAT,Apr-2019,29
RIAU,Apr-2019,181
SULAWESI BARAT,Apr-2019,40
SULAWESI SELATA,Apr-2019,270
SULAWESI TENGAH,Apr-2019,134
SULAWESI TENGGARA,Apr-2019,115
SULAWESI UTARA,Apr-2019,76
SUMATERA BARAT,Apr-2019,205
SUMATERA SELATA,Apr-2019,197
SUMATERA UTARA,Apr-2019,421
,,
ACEH,Mar-2019,199
BABEL,Mar-2019,107
BALI,Mar-2019,639
BANTEN,Mar-2019,367
BENGKULU,Mar-2019,149
D.I YOGYA,Mar-2019,389
